t,H,F,I,unsatisfied_clauses,assignment_entropy
0,0.019357417812557728,0.02164387866365109,0.96195905259715,20,0.9858333409366259
1,0.018773280803539898,0.02119925042367293,0.9576999977936405,18,0.9861020778544534
2,0.018317999099754227,0.02469237412286829,0.9497536520496694,16,0.9837705417045092
3,0.017629552580859145,0.03179009569012766,0.9398338383627569,13,0.9789148232922792
4,0.01700151643118905,0.043124475149512065,0.9295198900933517,13,0.9710431499659412
5,0.01615741678977626,0.05940243676865998,0.9228748351487599,13,0.9593153641185439
6,0.014958679969959714,0.07802752894149428,0.9190804476328114,10,0.9453452570298925
7,0.014078503583625399,0.09950216663668615,0.9102154783489802,6,0.9290703667957473
8,0.013514566496991995,0.12165528127210498,0.9019370126259434,5,0.9120338567320073
9,0.013298407250121169,0.14473924580426178,0.8902930348093924,5,0.8943277942481227
10,0.013205852214783292,0.16074307564296902,0.8780060631548197,6,0.8821230640262604
11,0.013334483830171405,0.17532491096089195,0.8673221952363311,6,0.8710752317708967
12,0.013332649606483005,0.18295222438271916,0.86178848701289,6,0.8653478882532756
13,0.0132990164970968,0.19209609898304592,0.8551181337164275,5,0.8583985203341645
14,0.013249237674742701,0.19916092873527838,0.8530742013473571,5,0.8529925209596194
15,0.013081734962960188,0.20846070032840303,0.8524401768202422,5,0.8457340298143565
16,0.012847859371786499,0.22034899008744382,0.8542352856196098,5,0.836084085127424
17,0.012395037304565246,0.22219888022310744,0.8615066081934502,5,0.8339525574688239
18,0.011860617442233115,0.22078600813714744,0.8684482560475766,5,0.834615622443647
19,0.011541202598229584,0.22070973232289953,0.8684748266871765,5,0.8343033232730509
20,0.011155875729098468,0.22037415087116574,0.8612513870772716,4,0.8340894142618435
21,0.01087851912873886,0.21947296975907232,0.852505933317081,2,0.834508230883213
22,0.010547046693602475,0.22010262547287174,0.8433678108861633,2,0.8337950296717808
23,0.010141345452966855,0.2234580933088408,0.8327131208482407,2,0.8307905982071346
24,0.009779205064085385,0.2269554144334249,0.8171000530956594,2,0.8278216959872996
25,0.00959430084286149,0.2297683859805088,0.8017581405657752,2,0.825404448403449
26,0.009309832495116225,0.23353767407623288,0.7872574130854202,3,0.8220997088767467
27,0.009105395726225398,0.23773776823267379,0.7712148214850185,3,0.8185649646922132
28,0.00889630654615555,0.24260957433586694,0.7561998843528153,3,0.8144692920448415
29,0.008706989368553214,0.24404336852929973,0.7508982843568421,3,0.8125960817991819
30,0.008562458572533713,0.24865155993446147,0.7467239456066881,3,0.808214664550624
31,0.008310923700831134,0.24995595444707155,0.7495095381331864,3,0.8063495771924168
32,0.00805022112684657,0.2530783325077292,0.7568858836753029,3,0.8031745077549681
33,0.007826664269244915,0.25545086414827756,0.7621178288265544,3,0.8010305496824721
34,0.007649031674783117,0.25842955450598054,0.7652397178843255,3,0.7980903755464974
35,0.0075672864155781824,0.2639676067838854,0.7643318681360183,3,0.7933289130760486
36,0.0075648894022915724,0.2645037049394722,0.7608134561899136,3,0.7923115493270813
37,0.007542020846787754,0.2647132873719656,0.7559452371721413,3,0.7914847591121348
38,0.007484263275115467,0.25079402682357177,0.777247694825465,3,0.802452155480064
39,0.007655063831561863,0.22870157016007778,0.8003671035893145,1,0.8210826185880401
40,0.007958937145090019,0.2175638108505615,0.8031736091283721,2,0.8303438528050322
41,0.008355610357681363,0.21000442197111763,0.7918627872938697,2,0.836807519313037
42,0.008681757206123188,0.2069342468859423,0.7859401703968387,2,0.8399004831497179
43,0.009039938329876984,0.20582748320463753,0.7883775434636022,2,0.8411157350818199
44,0.009341737880754831,0.20588108277706887,0.7969033841814097,2,0.8409771783233193
45,0.009483040535255897,0.206052364586144,0.8116683749773613,2,0.8406744869587061
46,0.009433687283025677,0.20508897127187037,0.8276856048718221,2,0.8411730110050606
47,0.009279436984203604,0.20470414178916216,0.8436854647053613,2,0.8412447333179489
48,0.009195353937295031,0.20369205205314547,0.8528497429058293,2,0.8421775950942398
49,0.009111299301424045,0.2000431392773189,0.8613949550102589,2,0.8446488993722269
50,0.009158786755844715,0.19608039988376708,0.8670421128350261,2,0.8475502999455404
51,0.00913517928654474,0.1928674114070081,0.8713077431221119,2,0.8491766701231264
52,0.008976734185818206,0.1904205596344786,0.8708411125500561,2,0.8508481147708258
53,0.00872127194990528,0.19115639938692255,0.8661732227882165,2,0.8502560125350519
54,0.00851731939188308,0.19435521423251112,0.8589892339949547,1,0.8476975436920384
55,0.00831708439173867,0.19443919904849893,0.8519804343645625,1,0.8474680053955942
56,0.008203103098254809,0.1954872173935398,0.841882676789962,2,0.8459458107462376
57,0.008329142271760044,0.19577570416010967,0.836818562326648,2,0.8463155681074056
58,0.008323998839938115,0.1894343751382912,0.8470013978398959,2,0.8510134737729149
59,0.008260129506411397,0.17863256501022856,0.8592792163669456,1,0.8592165261870269
60,0.00816134699331024,0.18066066955577487,0.8574049667772439,1,0.8568416741346103
61,0.00819931987095385,0.1830168328104067,0.8562275264311809,1,0.8553615004464025
62,0.008308132060767356,0.18397888614066232,0.8621349067441255,2,0.8552859134453574
63,0.008631611425635961,0.1655820355421417,0.8819919193770741,2,0.8696108305231836
64,0.009020944708635317,0.14145550552801753,0.8985255878924786,2,0.8868831393874477
65,0.009546243273940004,0.1209802571926856,0.9086767275594463,2,0.9025352204249376
66,0.009849675913684155,0.10957555200522404,0.9115769474637245,1,0.9104251035288285
67,0.010270890607357423,0.10609324559408291,0.9070312430421502,2,0.911907924663063
68,0.010950904746178136,0.09558665802204663,0.902855393586678,5,0.919313475157878
69,0.011366038827819091,0.0874526021474254,0.9028134410037003,5,0.9253207482635886
70,0.011598317510123982,0.08558021105063124,0.8989315862698906,3,0.9286721364513043
71,0.011867175451304194,0.08572902340405805,0.891303790520618,3,0.9293953113178117
72,0.012178313200782246,0.08466684303578792,0.8897974267436166,6,0.9315517707967355
73,0.012392337766120858,0.08549864296356069,0.8924559324446796,6,0.9323491941583378
74,0.012521114928999898,0.08937267916484114,0.8992218028643004,5,0.9310087848730793
75,0.012679303795940053,0.08993485815925507,0.9073150686608518,5,0.9323526210165184
76,0.01282140827561547,0.09166029524180064,0.9078191025339135,5,0.9324043642718662
77,0.012439208853243329,0.09336995212265192,0.9080821724541271,5,0.92981006670113
78,0.011923486726458054,0.09105399520028118,0.9141551607944522,5,0.9295989351536499
79,0.011727507640733341,0.09173829556903969,0.9161963046970345,5,0.9277570442159218
80,0.011422490592411905,0.09415793990474346,0.9119346300232622,5,0.9250194342778633
81,0.011670097599699817,0.0910379012932416,0.9154412571111429,5,0.9276387042417862
82,0.011672747199435717,0.09375898573498165,0.913726800550865,4,0.9265011681712628
83,0.01135519811351273,0.10428844908435823,0.9044087417899067,4,0.9192011541757413
84,0.011139254574806178,0.1167299128333158,0.8967340788632816,4,0.9104349421204286
85,0.010857124646024462,0.12712710893268844,0.8962159466493274,3,0.9024329446543324
86,0.010587642822104209,0.13638115065561796,0.8972949043338144,3,0.8950384508805236
87,0.010251964163254357,0.14496938685180133,0.8997985314457586,3,0.8882505942864168
88,0.009854045023357471,0.15304342241092472,0.9033258493900564,2,0.8814554092692193
89,0.009422448045262231,0.15948835923902574,0.9058528490461599,2,0.8756739318787321
90,0.00906407052717635,0.1692037915530124,0.9026136210871174,2,0.8669141358360151
91,0.008804598848699175,0.1783277772707612,0.8974089423778958,2,0.8582072232904372
92,0.008556635488540021,0.18766269591119097,0.888425550083549,2,0.849106031095901
93,0.008355508287264203,0.1946383981820842,0.8815984679147526,2,0.842155641564857
94,0.008335145946567023,0.1989682010406561,0.8755301137274468,2,0.8379598117773828
95,0.008348941738492361,0.2028982733211043,0.8722889564000414,2,0.8341283449671685
96,0.008383199713632952,0.20466722478990845,0.8728652026943393,2,0.8321675586587588
97,0.00836927912343791,0.20483714556707597,0.874045453838577,2,0.8313692171058084
98,0.008303554282139565,0.20453363210506717,0.8760510222461425,2,0.8309759642987988
99,0.008265667330236525,0.20423978186682523,0.8775516796711476,2,0.8305988903144319
100,0.008251472445305236,0.20662642682387866,0.8753524486970325,2,0.8281859282575508
101,0.008225802979260536,0.20884063818456922,0.8730026927838314,2,0.825951899335
102,0.008180049348451707,0.20955046844987835,0.8722604160946852,2,0.8246006871112197
103,0.008063019481753279,0.21003961333148105,0.8698214257110428,2,0.8231061415149052
