runner_id,birth_t,death_t,lifetime,path_length,unique_nodes,path_novelty,revisit_rate,runner_mass,mass_density,loop_score,escape_score,mean_intensity,peak_intensity,bridge_score,collapse_contribution,classification,path
1,0,3,4,4,3,0.75,0.25,0.19110035247911344,0.06370011749303782,0.014971352462376398,0.07627764525460326,0.04777508811977836,0.05835957511871047,0.1725810833952037,0.08930866005308775,diffuse_runner,clause:85 -> clause:135 -> variable:24
2,0,4,5,5,4,0.8,0.19999999999999996,0.2500284035828695,0.06250710089571737,0.01176596388730437,0.09117452474241573,0.050005680716573894,0.05881541923821385,0.19374623617751752,0.08823416741679463,diffuse_runner,clause:14 -> clause:124 -> variable:13 -> variable:24
3,0,4,5,5,3,0.6,0.4,0.30476279126052264,0.10158759708684088,0.0368877054736238,0.06912969521727785,0.06095255825210453,0.09972343284494084,0.19810470073319925,0.08159225030521791,diffuse_runner,clause:127 -> clause:77 -> clause:135
4,0,4,5,5,4,0.8,0.19999999999999996,0.21162031621047073,0.05290507905261768,0.010049353945603638,0.06703929104796136,0.042324063242094145,0.04482958315016962,0.1626272356176187,0.015283393287127172,diffuse_runner,clause:131 -> clause:90 -> clause:19 -> clause:82
5,0,5,6,6,3,0.5,0.5,0.4509988870752312,0.1503329623584104,0.06534323855686011,0.06808620008471314,0.0751664811792052,0.12074730333253511,0.22099769177019746,0.11617114223538574,diffuse_runner,clause:129 -> clause:102 -> clause:135
6,0,5,6,6,3,0.5,0.5,0.30760621199888394,0.10253540399962797,0.0464998237823765,0.040229944868448796,0.05126770199981399,0.05955116421226658,0.15160778707575204,0.030710798494111353,diffuse_runner,clause:41 -> clause:70 -> clause:24
7,0,5,6,6,3,0.5,0.5,0.2740080588167809,0.09133601960559364,0.04184596584588231,0.03856233465968132,0.04566800980279682,0.05019877702543965,0.14633698078860394,0.027034717429189684,diffuse_runner,clause:20 -> clause:14 -> clause:77
8,0,5,6,6,4,0.6666666666666666,0.33333333333333337,0.2947239675370454,0.07368099188426135,0.022874886315147343,0.08036464921217382,0.04912066125617423,0.059371925254249655,0.19928259141060767,0.10490468818664751,diffuse_runner,variable:30 -> clause:72 -> clause:19 -> clause:82
9,0,6,7,7,4,0.5714285714285714,0.4285714285714286,0.37721072016902735,0.09430268004225684,0.03693259190616595,0.05642063574820853,0.053887245738432475,0.06771518290873224,0.18532838779089822,0.03276302533191309,diffuse_runner,variable:22 -> clause:124 -> variable:13 -> variable:24
10,0,6,7,7,3,0.42857142857142855,0.5714285714285714,0.4049694610672786,0.13498982035575954,0.06796275950661193,0.034523986766577947,0.05785278015246837,0.07196484222802907,0.15682368272786681,0.013672219149466631,diffuse_runner,clause:12 -> clause:96 -> clause:122
