sprite_id,kind,component_id,birth_t,death_t,lifetime,peak_intensity,mean_intensity,mean_influence,mean_entropy,signed_motion,spin_displacement,bridge_score,collapse_contribution,classification
1,clause,0,0,6,7,0.030981572270261624,0.027971272675570345,0.12315912993505382,0.5411702389390128,-0.025129206592805917,0.06059112364232852,0.05589278830240922,0.03363470168274546,hotspot
2,clause,0,120,129,10,0.022321083351647956,0.021382431334695837,0.09348260096998816,0.4759949731967172,-0.004289626835019988,0.01639187704930954,0.05783291184085468,0.014189082624494134,hotspot
3,clause,0,202,207,6,0.01946890599399182,0.018899447718800477,0.0919356861390313,0.44645928661165685,0.00041456171731227287,-0.022338868280995093,0.041983194316157865,0.006781154092780491,hotspot
4,clause,0,219,236,18,0.021911225526929777,0.020154598432106905,0.08494632999496773,0.46197776056754425,-0.0004017824534710279,-0.012506856360512242,0.0763233284779068,0.00546676881262371,hotspot
5,clause,0,240,252,13,0.020166650132513755,0.01932444392661411,0.07849396049719262,0.45224267412213215,-0.0006287838414780617,0.0008295204717308352,0.06095033033093785,0.007808368755629834,hotspot
6,clause,1,0,10,11,0.027999733684717764,0.014532720963070168,0.2805348237957248,0.35600722266272167,-0.08968786337531928,0.28607945362341486,0.12901786293764683,0.10583099585718955,hotspot
7,clause,1,23,29,7,0.004977120152772356,0.004514922302154891,0.1260217027268559,0.18127360229676467,-1.7264741889570084e-05,-0.08434882747870709,0.06312307479648953,0.0011598506186932876,hotspot
8,clause,1,51,60,10,0.006102360253560223,0.005015728162922375,0.11448745319572577,0.1949999474084349,0.002656425512823312,-0.0043042316919288115,0.04911907225763462,0.0012476740468755328,hotspot
9,clause,1,83,88,6,0.004903561209438606,0.004553187023435074,0.09480692627012281,0.18259578413399435,-0.0006473439208909207,-0.004113715865743273,0.03301284925648435,0.002487386187291709,hotspot
10,clause,1,94,101,8,0.005604700514323575,0.004992777899391477,0.10215665595433811,0.19464327241466944,-0.0013929806372380976,0.04187624227205933,0.0540675871092505,0.004124669610616924,hotspot
11,clause,1,134,139,6,0.004470006599443741,0.0043334184496827185,0.0838155876273297,0.17642055374433382,0.0010760964778187658,0.004247362986703029,0.03385261382609928,0.0016957510374156425,hotspot
12,clause,1,208,217,10,0.004892084382446493,0.004587647642107259,0.08026987553367645,0.18369292001959794,-0.0009866697701099401,0.02115534189836496,0.054870020473640674,0.0031952809469804498,hotspot
13,clause,2,0,6,7,0.03112478694328482,0.015435294800733695,0.06243771334550309,0.3653954179927088,-0.11334682648138758,0.3590235932988625,0.1283595964325462,0.12288350410038718,hotspot
14,clause,2,95,108,14,0.004297603611244928,0.0037943776821336627,0.0038889271060626998,0.16057556139538073,-0.0011972860749878134,-0.01363845828259369,0.06557879892878331,0.0035831065073859106,hotspot
15,clause,2,115,120,6,0.003654418312060866,0.003412935160165965,0.003471476239965557,0.1486370903108872,1.1449315781071612e-05,-0.02275363571101449,0.0393655464288279,0.0008503316632103183,hotspot
16,clause,2,122,143,22,0.0044907357988884,0.003935133325021889,0.004305056187479729,0.16489132632773038,-2.2910134532882348e-05,0.013556759475648744,0.08616288266806305,0.0010309258074392652,hotspot
17,clause,2,195,198,4,0.003358271999026779,0.0032931025640563624,0.003303778316118726,0.1447722472800118,-6.445836308874645e-05,0.0032957149378178008,0.023371933330385106,0.0009645517316374514,hotspot
18,clause,2,202,205,4,0.003496441068024248,0.003414268193336384,0.0033242082968116967,0.14870603966484144,-0.00013545290533508586,0.0008305869646389463,0.022512686404082705,0.0011510410260685382,hotspot
19,clause,3,0,7,8,0.03269600163414681,0.018291232267387693,0.1632956391115712,0.41705478210352004,-0.09467619324730316,0.1988993599469949,0.0980655710622166,0.10223314603060764,hotspot
