t,H,F,I,unsatisfied_clauses,assignment_entropy
0,0.019357417812557728,0.02164387866365109,0.96195905259715,20,0.9858333409366259
1,0.018773280803539898,0.02119925042367293,0.9576999977936405,18,0.9861020778544534
2,0.018317999099754227,0.02469237412286829,0.9497536520496694,16,0.9837705417045092
3,0.017629552580859145,0.03179009569012766,0.9398338383627569,13,0.9789148232922792
4,0.01700151643118905,0.043124475149512065,0.9295198900933517,13,0.9710431499659412
5,0.01615741678977626,0.05940243676865998,0.9228748351487599,13,0.9593153641185439
6,0.014958679969959714,0.07802752894149428,0.9190804476328114,10,0.9453452570298925
7,0.014078503583625399,0.09950216663668615,0.9102154783489802,6,0.9290703667957473
8,0.013514566496991995,0.12165528127210498,0.9019370126259434,5,0.9120338567320073
9,0.013298407250121169,0.14473924580426178,0.8902930348093924,5,0.8943277942481227
10,0.013205852214783292,0.16074307564296902,0.8780060631548197,6,0.8821230640262604
11,0.013334483830171405,0.17532491096089195,0.8673221952363311,6,0.8710752317708967
12,0.013332649606483005,0.18295222438271916,0.86178848701289,6,0.8653478882532756
13,0.0132990164970968,0.19209609898304592,0.8551181337164275,5,0.8583985203341645
14,0.013249237674742701,0.19916092873527838,0.8530742013473571,5,0.8529925209596194
15,0.013081734962960188,0.20846070032840303,0.8524401768202422,5,0.8457340298143565
16,0.012847859371786499,0.22034899008744382,0.8542352856196098,5,0.836084085127424
17,0.012395037304565246,0.22219888022310744,0.8615066081934502,5,0.8339525574688239
18,0.011860617442233115,0.22078600813714744,0.8684482560475766,5,0.834615622443647
19,0.011541202598229584,0.22070973232289953,0.8684748266871765,5,0.8343033232730509
20,0.011155875729098468,0.22037415087116574,0.8612513870772716,4,0.8340894142618435
21,0.010929512017991399,0.21807604793721105,0.8532638752181443,2,0.8356254449257934
22,0.010650210616971854,0.21751898728560223,0.8448406654656011,2,0.8358492361889228
23,0.010299825710700306,0.2207865102381601,0.8334668773898404,2,0.8328331829654578
24,0.010080011313464768,0.22409055619452914,0.8120024524049256,3,0.8300569228936654
25,0.010092246017481198,0.22621666891436676,0.793498236613452,3,0.8282323808151724
26,0.009820109926488525,0.22920645080264784,0.7800264766463145,3,0.8254345917099389
27,0.009638263492669765,0.233189406782599,0.7667697535254814,3,0.8220866278423208
28,0.00936610427433333,0.2381498548345029,0.7572435259933425,3,0.817891503813756
29,0.009064960403832418,0.23743453388651212,0.7607014284073621,3,0.8174696308890118
30,0.00887549605001459,0.24288890368726498,0.7642658275382701,3,0.8123209629482723
31,0.00857673050789723,0.24384315939404028,0.7743793464177513,3,0.810683923647871
32,0.008316107666169179,0.24831288011327832,0.7843210278171922,2,0.8065998543435577
33,0.008145810845836432,0.2521165871856975,0.7820403286390298,2,0.8038666148015613
34,0.008139257360796941,0.25793926493528796,0.7682968749639572,2,0.7991453367041461
35,0.008222044281851474,0.2683982739967729,0.7531748047512217,2,0.7910304835185092
36,0.008194320805193426,0.27011337802408036,0.7585745477115375,2,0.7892907675564501
37,0.008105959168960848,0.27173298405919705,0.76369223804959,2,0.7875653553760812
38,0.008065519807731736,0.2721496936450147,0.7640532824014006,2,0.7869743161333368
39,0.008072428890885918,0.26897159419079897,0.7625009771974217,2,0.7898613557941783
40,0.008146455958121829,0.2678384223526973,0.755712450816422,2,0.7908577410496541
41,0.008268356770546699,0.26431335699824476,0.7441542082156842,2,0.7939735847920222
42,0.008321830107567145,0.2609885217984329,0.7440457741287088,2,0.7970752776918274
43,0.008484039923044202,0.2578794879556174,0.7536256110676018,2,0.799622168140424
44,0.008638846752107212,0.25146455651770017,0.7665619524440961,2,0.8043258123823487
45,0.008713168723594737,0.24660034870820474,0.7875377452214618,2,0.8079031012533145
46,0.008683657500006086,0.2406503455912918,0.8074347744471503,2,0.8125155857240572
47,0.008617608391748634,0.2349151086132396,0.8240770682587579,2,0.8171493245901995
48,0.00864830066859014,0.22869132814642218,0.8309832248951998,2,0.8227827905717916
49,0.008777228140523856,0.22179740513089674,0.8342366025164458,2,0.8283620439413746
50,0.009068728364586694,0.21744098499951992,0.8317918874187827,2,0.8321696249218395
51,0.009437838739190805,0.21670518936599412,0.8225624706414304,3,0.8323686880833335
52,0.009578756786397804,0.2188955991915321,0.8162384017248007,3,0.8310795164008246
53,0.009466276366393555,0.22448602367963486,0.8064770998911235,3,0.8272645564281073
54,0.009358492670011076,0.23442825158506142,0.7953545367906716,3,0.8199175139185343
55,0.009111850699428601,0.23734330868496917,0.7918114276683861,3,0.8178486415420186
56,0.009045488262103066,0.24052345474469017,0.7795128995034414,2,0.815276185420348
57,0.009034685067639757,0.24682598767432148,0.765220622140484,2,0.8104056305749529
58,0.008956728390239019,0.2506311728519787,0.7548331876852192,2,0.8070041935040868
59,0.008840589473653855,0.2536342973659273,0.749418591248667,2,0.8042131268418151
60,0.008545197082531188,0.26330399580003483,0.7438655134113754,2,0.7956986898948294
61,0.00835435126605036,0.2675679548355482,0.7462770039016977,2,0.7925023312207591
62,0.008142469676834525,0.265369353068232,0.7643162339774348,2,0.7946565552655493
63,0.008010869699535256,0.2569626578293872,0.789699405807859,2,0.8014881473803036
64,0.007998980812718921,0.2482497656413852,0.8102386610245333,2,0.8081604103085652
65,0.008042616082505063,0.24269347147304687,0.8262922921018905,2,0.8128467145368767
66,0.007985483427308383,0.2425041842864931,0.834860526045428,2,0.8128301809822059
67,0.00801647505727605,0.24304954220514893,0.8339505064042423,2,0.8120895455818427
68,0.008138506357680054,0.23922408513889426,0.839138279782786,1,0.8150720919877643
69,0.008242701262985106,0.23629766055632773,0.84061661162801,1,0.8174872318711595
70,0.00824340314210225,0.23796563513673724,0.8417492902694235,1,0.8167340033249214
71,0.008222344075679821,0.23748224201083679,0.8455879360025298,1,0.8171316093927177
72,0.008263547001845416,0.23450658996358462,0.8526932962068985,1,0.8199625531457512
73,0.00824180020822079,0.23111358815117303,0.8620697026867066,1,0.8232679053413121
74,0.008231827499062275,0.2300381018913504,0.869263093724298,1,0.8248652056173582
75,0.008288446354136957,0.2264177295849154,0.8737183355000889,1,0.8284325657590941
76,0.008400815099163527,0.2238180431272352,0.8771805085644837,2,0.8310927538746298
77,0.008365031088228227,0.22410482941202464,0.876151241506923,2,0.830540607633291
78,0.00830057388852526,0.22175931765704066,0.874215730104543,2,0.8318653718006215
79,0.008210543124068596,0.22112468535947605,0.8709002755126192,2,0.8319314210951515
80,0.008054015055369583,0.2205350253095323,0.8685170900009533,2,0.8319769139949994
81,0.007990937683706718,0.21840396951398242,0.8682601816882003,2,0.8334194518450789
82,0.007950238832631743,0.21738393414451485,0.8704619665578294,1,0.8340372864527079
83,0.007894544144807118,0.22064004345973856,0.8668078032408004,1,0.8311263762623836
84,0.007910761849907242,0.22552661789703798,0.8603969930468952,1,0.8271317174812796
85,0.00795021512758168,0.2237032494357294,0.8552271263414101,1,0.8278590539885303
86,0.008055793050046285,0.22115454496215348,0.8516317991947601,1,0.8290814367015651
87,0.007977739344309513,0.21942094764219913,0.8554565604677447,1,0.8298146715759998
88,0.007873181362076752,0.22029837028888552,0.8571399170948932,2,0.828000783223498
89,0.0076042469125306026,0.2217154489318986,0.8658364183392613,2,0.8257883414915023
90,0.0073290595383406956,0.22884183522220947,0.861122957380932,1,0.8186585656429989
91,0.007223573696439188,0.2311846675165892,0.8593357611521675,1,0.8152169010246657
92,0.007126357190014218,0.23274682428655014,0.8541102092975126,1,0.8124633291426422
93,0.00711237808422943,0.23053055081883883,0.8512103575757747,1,0.8134719109134099
94,0.007288445527550679,0.22357939609065938,0.8549961078162013,1,0.8192404192503301
95,0.007478043648981686,0.22044202144599154,0.8615086022362708,1,0.822003914579151
96,0.00774286111511132,0.21710860079232192,0.8698095137200728,1,0.8249594219261916
97,0.00794276865816052,0.2144308192463786,0.8767035517998878,1,0.827020059782132
98,0.008069827763694349,0.2126539736158954,0.8827721119677436,1,0.8281431819894066
99,0.008128633618079634,0.21066231654832454,0.8873713941256254,1,0.8290644171370088
100,0.008097074221869848,0.2130682636780229,0.8881689185225505,3,0.8265444773733892
101,0.008040974873214542,0.21482701333944212,0.8882199645631019,3,0.8247243882907661
102,0.007982340353351993,0.21502247185416123,0.8872544676926735,3,0.8237580205715287
103,0.007771475000785853,0.21547735713035354,0.8808971683791345,2,0.8221387928228774
