sprite_id,kind,component_id,birth_t,death_t,lifetime,peak_intensity,mean_intensity,mean_influence,mean_entropy,signed_motion,spin_displacement,bridge_score,collapse_contribution,classification
1,clause,0,0,5,6,0.030981572270261624,0.02699155445772315,0.11985298037588232,0.5314583853108422,-0.030885112513487398,0.07046502416563569,0.05461824141466573,0.039475722409931205,hotspot
2,clause,0,80,103,24,0.02300383651840798,0.020962707793292026,0.08211848622100082,0.47137929777911575,-0.0026818944291315816,-0.008709121870798017,0.09080106079771452,0.010240998307366925,hotspot
3,clause,0,114,129,16,0.021468071156976562,0.019763006915572378,0.08082178561274721,0.4573707894214536,8.252265795516411e-05,0.011459713381674994,0.07295264638993507,0.006649851211950478,hotspot
4,clause,0,153,158,6,0.019244495592825876,0.018831001771418488,0.075374411423257,0.4462298692241608,-0.0006543734142802488,0.021355883186688907,0.04027205407979506,0.006556263245939572,hotspot
5,clause,1,0,13,14,0.027323666741823852,0.014493439264172561,0.22998510636837793,0.3569557600225108,-0.09147928202150732,0.28421947461011116,0.1383304806452157,0.10790794816231696,hotspot
6,clause,1,21,28,8,0.004526891718089159,0.004118170013203743,0.10183746898805475,0.1698242472329076,-0.00039045599999529973,-0.032899142323611796,0.051147942080153774,0.0018638446489711905,hotspot
7,clause,1,48,59,12,0.004186976833644943,0.0039033852049022793,0.09940627876683267,0.16347871366033695,0.0008225330366612715,0.0005415599699693241,0.05534634820664731,0.0014476244374263597,hotspot
8,clause,1,82,86,5,0.0041724830481147945,0.003988558492360888,0.08661079252087986,0.16614539549773116,0.0003651139484845273,-0.01082512087899809,0.0307752444282276,0.0009931782734532118,hotspot
9,clause,1,133,138,6,0.003745906096001532,0.003731540597923697,0.08254804999233774,0.1583253762746368,-1.6805318981454043e-05,0.01083592494509611,0.03583221496844814,0.0013557038769883654,hotspot
10,clause,1,204,211,8,0.004077052474373592,0.003886737075577199,0.08191639915268062,0.16308522514865278,0.0006432961255345565,-0.0053448763932869015,0.04201306277570121,0.0010863789915997808,hotspot
11,clause,2,0,7,8,0.03112478694328482,0.014967511662828647,0.05785917466973745,0.36050134373687165,-0.10989311501544581,0.33595260289522627,0.12801465767461123,0.11899533236752007,hotspot
12,clause,2,65,70,6,0.0037209837893463697,0.0036250559613680722,0.0042827346547913035,0.1554295681116355,-2.4356377548717667e-06,-0.012270591590551161,0.03592403006671369,0.000987993579611351,hotspot
13,clause,2,84,106,23,0.004635809122065205,0.0039324539331696134,0.004661140596826084,0.1648229288147453,0.0005560462034862185,-0.0028177477288855446,0.08464809505389041,0.0010012665338573648,hotspot
14,clause,2,124,132,9,0.0037455292450060194,0.0035853458687280914,0.0038743935331244255,0.15417302122393595,0.00047295719120030166,0.0022294134800242005,0.04477567190110346,0.0009667695186049817,hotspot
15,clause,2,137,140,4,0.003608893578998082,0.0035590961683116774,0.0038781900760663686,0.15334798585392556,-0.00017033764823315076,-0.002490528798411301,0.02309174173827068,0.0012596401166395843,hotspot
16,clause,2,202,205,4,0.0036256025985152273,0.0035640094031847455,0.003853878911233562,0.1535033206031194,-0.00022312395531527696,0.00023543939339595865,0.02230460661337973,0.0013763021689666187,hotspot
17,clause,3,0,7,8,0.03269600163414681,0.01677288531647249,0.15395298375137834,0.3914626780057072,-0.10277230397291366,0.2632107239587458,0.11292825467540096,0.1102299292933175,hotspot
18,clause,3,20,26,7,0.0056457008914890874,0.005277543423219698,0.01481779782998116,0.20344727148227257,0.0015857345343503887,0.018766701242787093,0.042664043855251306,0.0015607710828211604,hotspot
19,clause,3,44,48,5,0.006212711565375066,0.005710688046851711,0.021773448054779425,0.21478397786277387,-0.00046192092999498835,-0.008361840179014063,0.029929401894897234,0.0023255886491465585,hotspot
20,clause,3,67,89,23,0.006283827186512406,0.005407727043006654,0.014413040971386206,0.2068305149955906,-0.00010836606743216959,-0.011351242591511435,0.08756470696528332,0.0015601198512041525,hotspot
21,clause,3,112,122,11,0.00563981363157601,0.005356405565542701,0.014204832618411605,0.20559176343315233,-0.000849962970565811,-0.00520866170311457,0.05297637594175833,0.003014113553909897,hotspot
