t,H,F,I,unsatisfied_clauses,assignment_entropy
0,0.019357417812557728,0.02164387866365109,0.96195905259715,20,0.9858333409366259
1,0.018422971255472875,0.019656427829632953,0.9595684153223085,17,0.9871025826965126
2,0.01725066059951046,0.01951580504919223,0.9553787634609157,13,0.9871205849185799
3,0.01585598716744771,0.022106730708840155,0.9504161006152461,13,0.9852354576741291
4,0.014623731784891405,0.028744879239166368,0.9451419122133125,10,0.9805333904336784
5,0.013578750816323202,0.04048006010080495,0.9410112348539457,7,0.9721279584511495
6,0.012726449565323681,0.05606956637873133,0.9351798659522825,6,0.9607738676443984
7,0.012117420816427436,0.07329319520684331,0.9271373708898103,5,0.948007278868866
8,0.01162733315408311,0.09037095689054833,0.9176457764376613,3,0.9351413833963612
9,0.011161550208188292,0.10673388733764157,0.905922835514639,4,0.9225892316993379
10,0.01067067782103977,0.11858257751195095,0.8957273818990157,3,0.9132448729946111
11,0.01029488511002222,0.1276902326271295,0.8870297172541599,2,0.906108044487722
12,0.009953614101117869,0.13351203108897505,0.8807762030586574,2,0.901406912572369
13,0.009588323037924437,0.1402879903575109,0.8753280154499501,2,0.8957974362540211
14,0.00922137465768945,0.14686041979485986,0.8724309827346326,2,0.8901754824120507
15,0.008812095947498141,0.15539769470526105,0.8708090624478879,2,0.8828761804119701
16,0.008455607853358882,0.16560815438531626,0.8704440679442681,2,0.8741641923692505
17,0.008125363116419084,0.1732661485393739,0.8692947853690751,2,0.8673705837037116
18,0.0077989447688236015,0.1784758188904422,0.8700064550859126,2,0.8630635992332798
19,0.00763182862440839,0.18279900894826687,0.8648300252936101,2,0.8595388174421357
20,0.007461246386092563,0.18743843017077738,0.8568700771950621,2,0.8554927831368017
21,0.007385895370847946,0.18962195954544092,0.8518412264707071,2,0.8532968890295743
22,0.007309627778285376,0.19077355232692855,0.8498315812688202,2,0.8520131117693083
23,0.007205425275196778,0.1929328722380331,0.8477067197528327,2,0.8495613851307842
24,0.0070950217299222944,0.19299593164039192,0.846195117376973,1,0.8488457845273132
25,0.0070557574442911735,0.1914808552635782,0.8465049750462369,1,0.8497042899982249
26,0.00696689602000872,0.19256247762883746,0.8464866955112058,2,0.8484225780833209
27,0.006924723418691137,0.1938148631824257,0.8477364495958895,2,0.8471991353552107
28,0.0068600963744294904,0.1957585976868831,0.8483786299778915,2,0.8454633434853844
29,0.006797187670668276,0.19427317795427787,0.8539891027009667,1,0.8457937031807484
30,0.006781604457045958,0.1958514726907179,0.8556423936646663,1,0.8438805814883372
31,0.006770938112639072,0.19552631278814173,0.8571854161411172,1,0.8434798615284089
32,0.006749522855515576,0.19760394572647688,0.8601886747140601,1,0.8416617613815836
33,0.006710166674685516,0.19797485852169502,0.8589037280114644,1,0.8416373166908206
34,0.006688087818015292,0.19811103307380815,0.8544203712025411,1,0.8413386033026325
35,0.006697196014656933,0.20015065819595473,0.8492130890548005,1,0.8398283878494337
36,0.0066870233134959265,0.19826373631203953,0.8523197390005322,1,0.8409448038152179
37,0.006665645518645362,0.1971210658840389,0.8527774625294469,1,0.8414904763025441
38,0.006659267079726536,0.19608249116484866,0.852842960352762,1,0.8420647677965765
39,0.006677941772428127,0.19419541773831833,0.8525687202239692,1,0.84388163964009
40,0.0067049783113950195,0.19402102656756226,0.8507054585538152,1,0.8441613812607331
41,0.006743367719577008,0.19222024233816107,0.845477344172667,1,0.8456765869930736
42,0.00679757819523406,0.1916880062315802,0.8416268528272899,1,0.8464923741498761
43,0.006871692094603379,0.1899667566235907,0.8441864683523507,1,0.8478451364981862
44,0.006931913040295523,0.18857525829502292,0.8465457114894769,1,0.8484594739320948
45,0.006975483510443013,0.18769812864099408,0.8513970704437477,2,0.8488466662604978
46,0.006961222993248822,0.1863170113487011,0.8555665214386929,2,0.8497338121652369
47,0.006939681272398366,0.18651599457864454,0.8574700526311692,1,0.8496303930334801
48,0.006934348424659207,0.1860914076791273,0.8583317597484346,1,0.8504330737959197
49,0.006938901935523268,0.1847469157633076,0.8594661400391818,1,0.851298692863326
50,0.007025934368214709,0.1821447993172575,0.8596420003351213,1,0.85342894782299
51,0.007087064521286428,0.18064773884177782,0.8573805075101779,1,0.8538500132111028
52,0.00708173487456731,0.1813011226427013,0.8545747440025937,1,0.8536186349951208
