source_kind,source_id,target_kind,target_id,polarity
clause,0,variable,0,1
clause,0,variable,1,1
clause,0,variable,2,1
clause,1,variable,0,-1
clause,1,variable,1,1
clause,1,variable,2,1
clause,2,variable,0,1
clause,2,variable,1,-1
clause,2,variable,2,1
clause,3,variable,0,-1
clause,3,variable,1,-1
clause,3,variable,2,1
clause,4,variable,0,1
clause,4,variable,1,1
clause,4,variable,2,-1
clause,5,variable,0,-1
clause,5,variable,1,1
clause,5,variable,2,-1
clause,6,variable,0,1
clause,6,variable,1,-1
clause,6,variable,2,-1
clause,7,variable,0,-1
clause,7,variable,1,-1
clause,7,variable,2,-1
clause,8,variable,20,1
clause,8,variable,9,1
clause,8,variable,25,1
clause,9,variable,23,1
clause,9,variable,3,1
clause,9,variable,13,-1
clause,10,variable,26,1
clause,10,variable,4,-1
clause,10,variable,15,1
clause,11,variable,7,-1
clause,11,variable,14,1
clause,11,variable,3,1
clause,12,variable,2,-1
clause,12,variable,8,1
clause,12,variable,18,1
clause,13,variable,19,1
clause,13,variable,11,-1
clause,13,variable,6,1
clause,14,variable,4,-1
clause,14,variable,3,-1
clause,14,variable,13,-1
clause,15,variable,29,1
clause,15,variable,23,1
clause,15,variable,19,1
clause,16,variable,5,-1
clause,16,variable,19,-1
clause,16,variable,31,-1
clause,17,variable,4,1
clause,17,variable,7,-1
clause,17,variable,26,1
clause,18,variable,31,1
clause,18,variable,26,-1
clause,18,variable,2,-1
clause,19,variable,22,1
clause,19,variable,31,1
clause,19,variable,29,-1
clause,20,variable,30,-1
clause,20,variable,4,-1
clause,20,variable,3,-1
clause,21,variable,24,-1
clause,21,variable,22,-1
clause,21,variable,1,1
clause,22,variable,7,1
clause,22,variable,31,-1
clause,22,variable,3,1
clause,23,variable,15,1
clause,23,variable,25,1
clause,23,variable,31,-1
clause,24,variable,25,-1
clause,24,variable,17,-1
clause,24,variable,8,-1
clause,25,variable,22,1
clause,25,variable,24,1
clause,25,variable,14,1
clause,26,variable,9,-1
clause,26,variable,14,1
clause,26,variable,0,-1
clause,27,variable,18,-1
clause,27,variable,0,-1
clause,27,variable,9,-1
clause,28,variable,8,-1
clause,28,variable,3,-1
clause,28,variable,29,-1
clause,29,variable,25,-1
clause,29,variable,6,1
clause,29,variable,30,1
clause,30,variable,4,1
clause,30,variable,13,1
clause,30,variable,28,-1
clause,31,variable,3,1
clause,31,variable,6,1
clause,31,variable,0,-1
clause,32,variable,1,-1
clause,32,variable,4,1
clause,32,variable,13,-1
clause,33,variable,22,1
clause,33,variable,23,1
clause,33,variable,30,-1
clause,34,variable,29,1
clause,34,variable,30,1
clause,34,variable,19,1
clause,35,variable,21,1
clause,35,variable,16,1
clause,35,variable,30,1
clause,36,variable,23,-1
clause,36,variable,9,1
clause,36,variable,1,-1
clause,37,variable,23,1
clause,37,variable,10,-1
clause,37,variable,22,1
clause,38,variable,12,1
clause,38,variable,15,1
clause,38,variable,25,-1
clause,39,variable,22,-1
clause,39,variable,1,-1
clause,39,variable,17,1
clause,40,variable,22,1
clause,40,variable,28,1
clause,40,variable,23,1
clause,41,variable,14,-1
clause,41,variable,30,1
clause,41,variable,12,-1
clause,42,variable,0,1
clause,42,variable,30,1
clause,42,variable,22,-1
clause,43,variable,12,-1
clause,43,variable,30,-1
clause,43,variable,11,1
clause,44,variable,25,1
clause,44,variable,29,1
clause,44,variable,5,1
clause,45,variable,1,1
clause,45,variable,9,-1
clause,45,variable,29,-1
clause,46,variable,9,1
clause,46,variable,8,1
clause,46,variable,1,1
clause,47,variable,27,1
clause,47,variable,12,-1
clause,47,variable,13,1
clause,48,variable,18,-1
clause,48,variable,15,-1
clause,48,variable,20,1
clause,49,variable,3,-1
clause,49,variable,22,1
clause,49,variable,29,1
clause,50,variable,1,1
clause,50,variable,28,1
clause,50,variable,11,1
clause,51,variable,9,1
clause,51,variable,30,-1
clause,51,variable,7,-1
clause,52,variable,6,1
clause,52,variable,3,-1
clause,52,variable,15,1
clause,53,variable,6,1
clause,53,variable,28,-1
clause,53,variable,1,-1
clause,54,variable,12,-1
clause,54,variable,17,1
clause,54,variable,28,-1
clause,55,variable,12,-1
clause,55,variable,28,1
clause,55,variable,8,-1
clause,56,variable,28,1
clause,56,variable,20,-1
clause,56,variable,4,1
clause,57,variable,13,1
clause,57,variable,19,-1
clause,57,variable,7,1
clause,58,variable,16,1
clause,58,variable,8,1
clause,58,variable,29,-1
clause,59,variable,31,1
clause,59,variable,10,-1
clause,59,variable,14,-1
clause,60,variable,21,-1
clause,60,variable,26,-1
clause,60,variable,12,1
clause,61,variable,23,-1
clause,61,variable,1,-1
clause,61,variable,21,1
clause,62,variable,24,1
clause,62,variable,21,1
clause,62,variable,18,1
clause,63,variable,6,-1
clause,63,variable,5,1
clause,63,variable,16,1
clause,64,variable,17,-1
clause,64,variable,8,-1
clause,64,variable,27,1
clause,65,variable,31,-1
clause,65,variable,20,1
clause,65,variable,5,1
clause,66,variable,27,1
clause,66,variable,4,1
clause,66,variable,17,-1
clause,67,variable,5,-1
clause,67,variable,14,1
clause,67,variable,4,-1
clause,68,variable,0,-1
clause,68,variable,21,1
clause,68,variable,26,1
clause,69,variable,15,-1
clause,69,variable,7,1
clause,69,variable,10,1
clause,70,variable,12,-1
clause,70,variable,19,-1
clause,70,variable,13,1
clause,71,variable,17,-1
clause,71,variable,22,1
clause,71,variable,1,1
clause,72,variable,1,1
clause,72,variable,12,-1
clause,72,variable,30,1
clause,73,variable,27,-1
clause,73,variable,31,1
clause,73,variable,25,1
clause,74,variable,21,-1
clause,74,variable,12,-1
clause,74,variable,8,1
clause,75,variable,8,-1
clause,75,variable,0,-1
clause,75,variable,4,1
clause,76,variable,3,-1
clause,76,variable,5,1
clause,76,variable,24,-1
clause,77,variable,2,1
clause,77,variable,29,-1
clause,77,variable,11,-1
clause,78,variable,0,-1
clause,78,variable,16,-1
clause,78,variable,23,1
clause,79,variable,2,-1
clause,79,variable,19,1
clause,79,variable,13,1
clause,80,variable,21,-1
clause,80,variable,24,-1
clause,80,variable,5,1
clause,81,variable,15,-1
clause,81,variable,0,1
clause,81,variable,5,1
clause,82,variable,25,-1
clause,82,variable,2,-1
clause,82,variable,1,1
clause,83,variable,5,-1
clause,83,variable,9,-1
clause,83,variable,24,1
clause,84,variable,18,-1
clause,84,variable,9,1
clause,84,variable,2,1
clause,85,variable,14,1
clause,85,variable,5,1
clause,85,variable,1,-1
clause,86,variable,6,1
clause,86,variable,24,1
clause,86,variable,28,1
clause,87,variable,31,-1
clause,87,variable,16,1
clause,87,variable,0,1
clause,88,variable,4,1
clause,88,variable,30,-1
clause,88,variable,16,1
clause,89,variable,13,-1
clause,89,variable,14,-1
clause,89,variable,29,1
clause,90,variable,30,1
clause,90,variable,18,1
clause,90,variable,2,1
clause,91,variable,21,1
clause,91,variable,16,1
clause,91,variable,19,-1
clause,92,variable,3,1
clause,92,variable,31,1
clause,92,variable,17,-1
clause,93,variable,18,1
clause,93,variable,29,-1
clause,93,variable,7,1
clause,94,variable,30,-1
clause,94,variable,1,1
clause,94,variable,18,-1
clause,95,variable,17,1
clause,95,variable,24,1
clause,95,variable,13,1
clause,96,variable,9,1
clause,96,variable,16,-1
clause,96,variable,23,1
clause,97,variable,23,-1
clause,97,variable,14,-1
clause,97,variable,31,1
clause,98,variable,10,-1
clause,98,variable,0,-1
clause,98,variable,31,-1
clause,99,variable,9,-1
clause,99,variable,26,-1
clause,99,variable,22,1
clause,100,variable,21,-1
clause,100,variable,0,-1
clause,100,variable,20,1
clause,101,variable,12,-1
clause,101,variable,0,-1
clause,101,variable,18,1
clause,102,variable,25,-1
clause,102,variable,24,-1
clause,102,variable,4,-1
clause,103,variable,3,1
clause,103,variable,17,-1
clause,103,variable,6,1
clause,104,variable,15,-1
clause,104,variable,17,1
clause,104,variable,27,-1
clause,105,variable,27,1
clause,105,variable,1,1
clause,105,variable,25,1
clause,106,variable,26,-1
clause,106,variable,28,-1
clause,106,variable,8,1
clause,107,variable,8,-1
clause,107,variable,10,-1
clause,107,variable,30,-1
clause,108,variable,19,1
clause,108,variable,16,-1
clause,108,variable,25,-1
