sprite_id,kind,component_id,birth_t,death_t,lifetime,peak_intensity,mean_intensity,mean_influence,mean_entropy,signed_motion,spin_displacement,bridge_score,collapse_contribution,classification
1,clause,0,2,30,29,0.0698291789424102,0.04710331774282619,1.274112372160829,0.6118986414906685,-0.010077726716843996,-0.06578818954419763,0.27876678135314964,0.14819145113633386,standing_wave
2,clause,0,94,103,10,0.03954040263053229,0.036046022547764366,1.4937723880129292,0.5459250362616579,-0.0013156634545682805,-0.009500495160593134,0.08859857307541613,0.03951194238106953,hotspot
3,clause,0,132,138,7,0.039618716124224906,0.036947907509499014,1.6740008199392873,0.5452338559222537,-0.002135632349383007,-0.010749667009083183,0.0829174697378852,0.04502610132527132,hotspot
4,clause,0,148,154,7,0.03538001062174395,0.0347005069650169,1.8101400914246744,0.5265669373569606,0.0011092420939918246,0.0033129920286103787,0.03705315422185342,0.008384191060947776,hotspot
5,clause,1,0,26,27,0.027639976764556366,0.019344480226952277,1.2214165119244713,0.40860556324967207,-0.0522561283923964,0.11206549711565017,0.270724488831514,0.18225718124049983,collapse_front
6,clause,1,91,103,13,0.009275321326577596,0.008055941119504384,1.5009602063364123,0.250160697480298,-0.00020096050915859032,-0.010061110358147607,0.09669508323932621,0.02992327404868403,hotspot
7,clause,1,222,232,11,0.00818028770615502,0.007808218284454251,1.6129026700061693,0.24433416207164937,0.0010797880945922628,-0.0009942654150033037,0.05151043793929661,0.001936930594231962,hotspot
8,clause,1,257,263,7,0.007494384262268104,0.007458112898136818,1.6242804215157964,0.23742489914095485,-0.0001634365087194098,0.0008363484613664318,0.03667996037706276,0.0025342318478213904,hotspot
9,clause,2,42,49,8,0.41274620619581126,0.38671671760901066,1.8148278885007563,0.9994945956135299,0.0010423680784910627,0.0025502918117562556,0.040890331528906775,0.0697180456358439,hotspot
10,clause,2,79,86,8,0.3731139168174711,0.36098268376692083,1.7334899792698588,0.9987460198447127,-0.0005428717309017839,0.0038210137995561277,0.04133226422983779,0.06634016695736426,hotspot
11,clause,2,105,110,6,0.3720697134374037,0.36399561688417476,1.7416696249137118,0.9989386990032928,-0.006304066700169697,0.005436594817878726,0.03347146669392086,0.06704615597476214,hotspot
12,clause,2,138,143,6,0.35382702459391635,0.3524326603688477,1.710083858389163,0.9981478599561062,-0.00020295996393848714,0.0003799953977519088,0.03171189523805562,0.06515998100668267,hotspot
13,clause,2,145,159,15,0.4004228889523638,0.37610985595734314,1.777001630955165,0.999355399333603,-0.002121179699823672,-0.00020574137143286597,0.06390178190176239,0.06845033376909372,hotspot
14,clause,2,174,177,4,0.35270605111141345,0.3512422884672273,1.7157085819247357,0.9979654801687299,0.00010845820759214364,0.002164736911581866,0.022978243553993048,0.0649850680860604,hotspot
15,clause,2,180,184,5,0.3579293917933941,0.3543787399664001,1.7156215595669448,0.9982982945130873,0.0009373144008861245,-0.0007354843165613967,0.028854465626621303,0.06663479620386067,hotspot
16,clause,2,214,217,4,0.35509322699881074,0.35282631909242423,1.7086117927225268,0.9981997227951969,0.0012392239505504832,-0.0012471118942590786,0.025123667253401354,0.06711931368392679,hotspot
17,clause,3,0,19,20,0.10488642413980223,0.07269106614017098,1.154099400508139,0.7238652469859386,-0.033998606173178236,-0.03428129065498435,0.24976454585752483,0.17142364991270756,hotspot
18,clause,3,200,203,4,0.04957816566671763,0.04885415887964575,1.590327188370603,0.6145935902342139,-0.0019207446361225733,0.0011044594470397406,0.029330134350669914,0.01877821017040164,hotspot
19,clause,3,220,235,16,0.056169309437758455,0.052458351842996034,1.6234240297880274,0.6301829552266586,0.002142034074027188,-0.0026799664090471076,0.06760214785168102,0.012460909201569453,hotspot
20,clause,3,243,248,6,0.048303107493968135,0.04801097689288964,1.6455065812684169,0.6082686326102772,-0.0009365079117266972,-0.003695820859754506,0.05095331522993754,0.02645874607424572,hotspot
21,clause,4,0,7,8,0.015612960267197294,0.013615109119196753,0.9510778133967759,0.34915732511971886,-0.02107455101503998,0.05789130553316442,0.12172764602469734,0.08308103951077064,hotspot
22,clause,4,20,41,22,0.014756619446714992,0.011239693676384638,1.5176243415807193,0.30348475399382574,-0.0003712019806002831,-0.03620484017728515,0.18406808490855248,0.07370699477669984,hotspot
23,clause,4,56,64,9,0.011369311000077847,0.010478197199390239,1.431864116959342,0.2938223351713248,0.0005675881631036842,0.0010283344933307292,0.044261986362126624,0.002592385770527084,hotspot
24,clause,4,68,76,9,0.00984046739087052,0.009487082062227712,1.5738611065083281,0.2752944951815486,-0.0001696729007030634,-0.0059803702833735595,0.07287150903446594,0.023559158523812098,hotspot
25,clause,4,125,130,6,0.009781790748571391,0.009446694995992327,1.4950257848516941,0.2756683099213519,-0.0010517383050701462,0.008431232613942422,0.04080507291722038,0.009069089241636161,hotspot
26,clause,5,0,30,31,0.011286579226050725,0.004920616631402271,1.2499136745837962,0.17574842238623883,-0.04121998494435331,0.22075180097226385,0.32410771563179525,0.19400730069828426,runner
27,clause,5,56,64,9,0.0031067796207124103,0.0027037767055635947,1.431864116959342,0.11997435768378373,0.0003866110241796134,-0.0025407247758610363,0.04478943907294206,0.0006741215023760548,hotspot
28,clause,5,91,102,12,0.0027839268416286317,0.00246055702891534,1.4917076078006692,0.11185930095007517,-0.0001301607610087168,0.0017337069223982704,0.058457541766243334,0.003504752430040623,hotspot
29,clause,5,125,130,6,0.0024618254420872457,0.0023811515437848823,1.4950257848516941,0.10921954958813039,-3.97560719899593e-05,0.0037709599461004384,0.03919369110663247,0.005591131727691728,hotspot
