t,H,F,I,unsatisfied_clauses,assignment_entropy
0,0.018578880755770192,0.029481248935237552,0.9482185079516225,20,0.9807103818758519
1,0.018371241407747874,0.02800683420342401,0.9486446783770165,20,0.9816957607236098
2,0.01775379643642193,0.026613301742598596,0.9464979400766746,19,0.9826427176201893
3,0.01682999297512985,0.02367897589728251,0.9449894346988137,19,0.9845188284177866
4,0.01608751888268942,0.02310997125817911,0.9401770924503248,17,0.9847700470549932
5,0.01552896370386716,0.024970112910566892,0.9336194143564758,15,0.9832759699470491
6,0.015080106687115912,0.02903712536691791,0.9250734552476456,12,0.9799437984001146
7,0.014687960408453712,0.035088371765681206,0.915964817710675,12,0.974866452811619
8,0.014427689417387878,0.04276101536458429,0.9075623228937146,11,0.9678264640890938
9,0.014359270632378445,0.05241004540173915,0.9003756461016965,10,0.958958352430673
10,0.014351428400780172,0.06213012739257797,0.8925758121905374,9,0.9500410278193769
11,0.014430908310510271,0.0727410343441089,0.8836940566588787,7,0.9411409133811354
12,0.014607982901231824,0.0845086015124088,0.8778247886703616,7,0.9315102114695565
13,0.014734315547676846,0.09391380051092049,0.8734840705695222,7,0.9239994351110509
14,0.014724445655183866,0.09921182010057394,0.8720579629601499,7,0.9193485563745974
15,0.014619152441668956,0.10282874524267195,0.871162602805363,7,0.9158418489226713
16,0.014410718863954324,0.10422363335231169,0.8705035817799356,7,0.9144458948885011
17,0.01426907901805857,0.10680676405902441,0.8671407214303755,7,0.9120842411154627
18,0.014092430675923626,0.10746107955401771,0.8602283969349045,7,0.9119743192619595
19,0.013911538855202172,0.10756097407521949,0.8549900533672044,7,0.9129232075115645
20,0.01374364558861946,0.10867619466297423,0.8485453741430037,7,0.9130763674972847
21,0.013658516736205672,0.10968956804814978,0.846844222416183,6,0.9128462101686192
22,0.013498945057128819,0.11139240763398814,0.8467157099440071,5,0.9115240047676213
23,0.013264657525926432,0.1132756798887317,0.8474954686126492,5,0.9096654907007119
24,0.013189521601144944,0.11683724911737706,0.8474507657054279,5,0.9069204379797201
25,0.013072344200835726,0.11957469394031464,0.8457459022607763,5,0.9046058595134454
26,0.012968384930868363,0.12446525352736318,0.8416587828112205,5,0.9001359604568948
27,0.012762850215796607,0.12944793461850893,0.8355841599202416,5,0.8954038350321625
28,0.01258143005673795,0.1328222032538907,0.832716927912726,5,0.8925467835346775
29,0.012336701238329214,0.1375536360215478,0.8298343455275394,5,0.8888873182673166
30,0.012099984749011852,0.14207084627146846,0.8246722264592494,4,0.8851998359049126
31,0.011907948687384706,0.1489486024294409,0.8148094674155639,4,0.8792757100099989
32,0.011769408990192711,0.1533644934471036,0.8094550159260672,4,0.8745367961529127
33,0.011619386529957488,0.15810030705800632,0.8035075077922671,4,0.8698988024354001
34,0.011557421189922971,0.1607641461649775,0.7974657784942807,4,0.8662259525149967
35,0.011612728225580649,0.1623290777152755,0.7918104117782656,4,0.8636602051516321
36,0.011660093066041724,0.1642037910862289,0.7872983853886794,4,0.8620048260340595
